Dest,AvgDelay,MaxDelay,CancelRate
ABE,3.4481662915397857,1306.0,0.019906928645294725
ABI,1.8822163238221632,921.0,0.012103369316323193
ABQ,3.046800129347091,1053.0,0.01443072384973539
ABR,3.7342105263157896,1174.0,0.031197301854974706
ABY,0.9256254225828262,1051.0,0.004032258064516129
ACK,0.5,127.0,0.04
ACT,-0.039330922242314645,597.0,0.016873889875666074
ACV,10.394032134659525,955.0,0.04119985543910372
ACY,2.9369198312236287,925.0,0.022034596375617794
ADK,3.541095890410959,118.0,0.10843373493975904
ADQ,6.247033441208199,424.0,0.07631318136769079
AEX,1.1428571428571428,819.0,0.015772128060263655
AGS,2.814455829410136,920.0,0.010798250410060143
AKN,10.83445945945946,161.0,0.08206686930091185
ALB,6.269986168741355,1220.0,0.024860886734877043
ALO,3.0455486542443064,431.0,0.036852589641434265
ALS,-7.207482993197279,926.0,0.06349206349206349
ALW,3.8341187558906693,226.0,0.09483488569009314
AMA,5.9685471792311535,1465.0,0.02321059667031231
ANC,3.991976688487945,1172.0,0.03360923965351299
APN,11.478213507625272,2308.0,0.06180344478216818
ART,2.0364583333333335,1209.0,0.08371665133394664
ASE,22.49975908258649,1627.0,0.07000856898029134
ATL,-0.1726176803871126,2108.0,0.009272276008412118
ATW,7.288944202447625,1076.0,0.024655328569990944
ATY,-4.85995085995086,586.0,0.050808314087759814
AUS,3.533145916256112,1592.0,0.01744889511558301
AVL,5.015281690140845,1412.0,0.020926243567753
AVP,4.339512904398401,1074.0,0.02629257102523381
AZA,14.214063886424135,1542.0,0.023590520506438697
AZO,5.460289266683583,949.0,0.03627952276600925
BDL,4.970108845792585,1267.0,0.02217426490423523
BET,4.236962488563586,314.0,0.03430079155672823
BFF,1.1674057649667406,814.0,0.03723404255319149
BFL,7.313938111610685,1108.0,0.016350895406177006
BFM,-6.341463414634147,116.0,0.0
BGM,0.5579302587176603,963.0,0.023835319609967497
BGR,2.5,810.0,0.041713460612867
BHM,4.334369722094273,1164.0,0.014846996599924443
BIH,16.41044776119403,372.0,0.045774647887323945
BIL,1.8448085926741944,1212.0,0.010050251256281407
BIS,3.870511425462459,1096.0,0.03063983178131571
BJI,2.398206278026906,738.0,0.02610966057441253
BKG,8.310344827586206,176.0,0.0
BLI,2.551976239433402,1004.0,0.031112091791703444
BLV,3.7410926365795723,1699.0,0.017815646785437646
BMI,6.601742075973869,995.0,0.0255928621742193
BNA,1.8426849728082475,2973.0,0.022448252661574384
BOI,2.757101752550353,1478.0,0.011276546331896885
BOS,5.772333640795889,1833.0,0.024417296997519756
BPT,4.717829457364341,946.0,0.022556390977443608
BQK,3.1902439024390246,1067.0,0.005517241379310344
BQN,14.638121546961326,784.0,0.016289592760180997
BRD,9.541623843782117,941.0,0.03458498023715415
BRO,1.6447440836543754,1345.0,0.017737167428110722
BRW,4.3971166448230665,292.0,0.028930817610062894
BTM,-6.883458646616542,789.0,0.0064995357474466105
BTR,3.200890963088672,1137.0,0.013252634874256496
BTV,5.1428352137539335,875.0,0.02727205172029427
BUF,5.282120943862755,1044.0,0.043213296398891966
BUR,2.5199404834500085,901.0,0.02578477988314054
BWI,0.5995987222853997,1260.0,0.02357594377935516
BZN,3.04547102763072,1038.0,0.017768653546651563
CAE,3.1476671137149714,982.0,0.014725289990970341
CAK,9.373973468098548,1100.0,0.026638841149030198
CDB,24.390243902439025,95.0,0.038461538461538464
CDC,-1.3247950819672132,682.0,0.006066734074823054
CDV,3.05078125,419.0,0.04804270462633452
CGI,-1.2954209748892171,631.0,0.07346938775510205
CHA,2.8140062137878914,1211.0,0.014871116986120292
CHO,3.0617283950617282,1141.0,0.02688439709250224
CHS,2.9807474847052684,1336.0,0.023138064662122027
CID,3.4398927454193355,1108.0,0.02822289591453732
CIU,6.365004703668862,891.0,0.026954177897574125
CKB,13.236252545824847,1202.0,0.03976721629485936
CLE,3.0740556040393967,1298.0,0.02142824507698634
CLL,-0.659117532213979,629.0,0.020175104682146935
CLT,1.4579026889411955,3795.0,0.0176546540379817
CMH,2.5136142754719986,1078.0,0.018974799094952016
CMI,5.520840280093364,954.0,0.03417438518045353
CMX,8.148832684824903,856.0,0.09643788010425716
CNY,-0.3201754385964912,377.0,0.03765690376569038
COD,8.506493506493506,962.0,0.0283436669619132
COS,5.8991810737033665,1504.0,0.018631697620601673
COU,7.833067347590169,993.0,0.04346504559270517
CPR,6.779644588045234,1541.0,0.017738359201773836
CRP,2.588308768423682,1099.0,0.016911764705882352
CRW,6.42603550295858,1111.0,0.025007964319847083
CSG,4.672037914691943,926.0,0.015755329008341055
CVG,3.002551101757071,1319.0,0.01500525811869222
CWA,6.382176052487698,1290.0,0.029838922630050172
CYS,3.9429763560500697,1172.0,0.04894179894179894
DAB,2.70572972972973,672.0,0.014680851063829787
DAL,1.2261604928704277,626.0,0.02385402507174143
DAY,5.162734193618055,1088.0,0.01862729533788432
DBQ,2.6756410256410255,181.0,0.057692307692307696
DCA,3.6862419080778492,2334.0,0.0261724996457705
DDC,-5.512820512820513,877.0,0.04807692307692308
DEC,-0.09461235216819974,940.0,0.06951219512195123
DEN,2.629244149634832,1898.0,0.02244188453768195
DFW,5.77150942772237,3502.0,0.015629387425479035
DHN,1.7636255924170616,953.0,0.0035335689045936395
DIK,12.108196721311476,1268.0,0.06458123107971746
DLG,17.157894736842106,300.0,0.10674157303370786
DLH,2.228306655433867,840.0,0.03354978354978355
DRO,6.568181818181818,1025.0,0.02149454240134341
DRT,-3.310344827586207,895.0,0.010825439783491205
DSM,3.885921404044258,1307.0,0.021775128332505382
DTW,1.622560766860664,1706.0,0.013336677001641437
DUT,27.397769516728623,305.0,0.16279069767441862
DVL,2.7543103448275863,1220.0,0.09569377990430622
EAR,-0.7427122940430925,698.0,0.049160671462829736
EAT,4.204858299595141,226.0,0.07937685459940653
EAU,3.7201051248357424,845.0,0.05773955773955774
ECP,3.777409738323948,990.0,0.010902747492368076
EGE,10.761383385470976,1494.0,0.036701777485187624
EKO,-1.658878504672897,1052.0,0.020338983050847456
ELM,6.8797023563455975,1025.0,0.024106066693451184
ELP,5.39421681366529,1287.0,0.015234189035778372
ERI,4.02671905697446,917.0,0.03313253012048193
ESC,9.231166150670795,1082.0,0.04356243949661181
EUG,4.470459689377975,1192.0,0.02722940776038121
EVV,1.2930125247198418,1106.0,0.0206351765274867
EWN,2.051505259339862,897.0,0.026694766420793818
EWR,9.4314812445809,1773.0,0.02807106248994507
EYW,3.9619285120532,1174.0,0.01599415442071933
FAI,4.4516026152128845,420.0,0.021515434985968196
FAR,5.1559749657735185,1062.0,0.0377323071146987
FAT,4.497986974541148,1212.0,0.012532789274264064
FAY,1.3856134325510399,892.0,0.014802323402660671
FCA,4.036830162331995,1203.0,0.020328646450957142
FLG,3.12333566923616,1365.0,0.03622945320362295
FLL,6.647283364105968,1966.0,0.014880405878712451
FLO,-0.019394879751745538,823.0,0.03225806451612903
FNT,7.5602605863192185,1575.0,0.026727624406541233
FOD,6.66747572815534,772.0,0.0651685393258427
FSD,5.8815177892334995,1418.0,0.033452710402083675
FSM,3.7243669572436695,892.0,0.017415957877683273
FWA,6.611919333801545,1093.0,0.021707245526547375
GCC,1.1038495971351836,936.0,0.026979982593559618
GCK,4.734545454545454,828.0,0.03487358326068003
GEG,4.05212883875595,1057.0,0.014987030454414449
GFK,2.3805418719211824,1736.0,0.03578450648839953
GGG,0.21959183673469387,589.0,0.02073365231259968
GJT,3.6837340457108936,905.0,0.011714745936447503
GNV,1.684071072319202,915.0,0.009242144177449169
GPT,1.840319686837384,1030.0,0.014553014553014554
GRB,2.894108780303982,1061.0,0.02447081854888046
GRI,3.370515329419439,1551.0,0.02349206349206349
GRK,1.840885684860968,766.0,0.02134605725765947
GRR,5.24684570381335,1589.0,0.02819645237362863
GSO,2.6753203448768637,1438.0,0.02132216014897579
GSP,3.6848565121412804,1509.0,0.018691588785046728
GTF,0.04156538648517258,1209.0,0.011230585424133811
GTR,-0.9511584220413275,619.0,0.008044554455445545
GUC,10.715552523874488,849.0,0.04630225080385852
GUM,-5.2946219797349965,1013.0,0.005426356589147287
HDN,5.8530259365994235,1229.0,0.028565337881048817
HGR,2.460377358490566,234.0,0.02214022140221402
HHH,2.3406055209260908,1046.0,0.023096663815226688
HIB,2.6232032854209444,1200.0,0.030815109343936383
HLN,-0.1460711887172599,887.0,0.011900826446280991
HNL,2.829828421647489,1445.0,0.012250313958723313
HOB,7.2259887005649714,929.0,0.013888888888888888
HOU,0.7978915699190838,1148.0,0.01890042528926798
HPN,10.405793543635694,1060.0,0.025653150490601725
HRL,2.8035935563816605,889.0,0.017280582082764895
HSV,3.6991362763915547,1188.0,0.016612859833198816
HTS,-0.03926096997690531,996.0,0.019740552735476594
HVN,3.66,430.0,0.04915254237288136
HYS,5.367816091954023,873.0,0.029304029304029304
IAD,2.8142306137573265,1458.0,0.020490216271884656
IAG,1.5668016194331984,879.0,0.043478260869565216
IAH,2.4312588043166605,1767.0,0.016719028234498327
ICT,4.483547748639287,1221.0,0.016880199162062057
IDA,3.7542914171656685,1571.0,0.016399843811011325
IFP,-5.290322580645161,29.0,0.0
ILG,32.5,165.0,0.038461538461538464
ILM,0.7630686886708297,762.0,0.01765888626628202
IMT,3.888992537313433,922.0,0.03285968028419183
IND,2.797996286090811,1406.0,0.018504919958877954
INL,-3.526258205689278,1015.0,0.040667361835245046
IPT,-3.941333333333333,222.0,0.08393285371702638
ISN,-1.0168350168350169,692.0,0.0165016501650165
ISP,5.819534781170764,844.0,0.025187566988210074
ITH,3.578928698119901,907.0,0.03303814713896458
ITO,3.6662783308621054,493.0,0.006725514922236234
JAC,7.613578138343296,1290.0,0.01850836303811352
JAN,2.010396000317435,1006.0,0.01495793081956996
JAX,4.837126262740401,1223.0,0.014416017797552836
JFK,5.697629960614506,2557.0,0.02065099315010666
JHM,-3.168869309838473,141.0,0.13878562577447337
JLN,4.923939151321057,1275.0,0.036753445635528334
JMS,4.798306389530408,805.0,0.07553707553707553
JNU,2.324324324324324,639.0,0.03325573661456601
JST,14.397306397306398,1188.0,0.06646058732612056
KOA,0.2418954751518262,1355.0,0.009037925500464566
KTN,3.279531402538236,425.0,0.026119402985074626
LAN,4.8272300469483564,1159.0,0.02603334094542133
LAR,7.234791889007471,912.0,0.05527638190954774
LAS,2.575555412661158,1702.0,0.014178782493043213
LAW,7.018310691080922,1047.0,0.045480067377877596
LAX,0.959242850869262,2078.0,0.01323285107791406
LBB,6.625897129186603,1039.0,0.02236918887375997
LBE,5.964897260273973,561.0,0.015138772077375946
LBF,2.995771670190275,921.0,0.044044044044044044
LBL,-2.1883040935672513,942.0,0.036748329621380846
LCH,4.290614398793818,1016.0,0.022769004774146163
LCK,8.506306306306307,1201.0,0.01415929203539823
LEX,2.450619806565863,1273.0,0.01702838063439065
LFT,4.049289649173674,1234.0,0.015888778550148957
LGA,5.251017945670398,1709.0,0.02682824136206942
LGB,1.2941151385927505,1280.0,0.015607347587765179
LIH,1.3341733631306167,1126.0,0.014563106796116505
LIT,3.420970502365851,1119.0,0.014697876973326075
LNK,8.509575757575758,1321.0,0.031608522594240226
LNY,4.797923322683706,282.0,0.008695652173913044
LRD,3.046761545164101,1109.0,0.017643710870802503
LSE,1.2132853141256503,1085.0,0.02263856362217018
LWB,0.5281124497991968,500.0,0.0708955223880597
LWS,-3.276184122748499,1529.0,0.011650485436893204
LYH,2.8567802755620013,689.0,0.023952095808383235
MAF,4.159861693518723,1026.0,0.018581202736766295
MBS,7.1742874109263655,906.0,0.02679343128781331
MCI,2.1372185242883446,1520.0,0.02173071070904916
MCO,6.0760438721475785,1598.0,0.017578941865328313
MCW,2.3242574257425743,765.0,0.06756756756756757
MDT,2.5481486848779076,1208.0,0.019774611949819266
MDW,0.6686487819581838,1124.0,0.0412623053829505
MEI,8.897840531561462,1422.0,0.02263540824575586
MEM,3.6620221913221145,1511.0,0.01661324041811847
MFE,6.159036819263615,1086.0,0.01567225735496288
MFR,5.250216750476851,1422.0,0.021091706740909474
MGM,4.653943560057887,1079.0,0.01632942847000355
MHK,3.5527359238699443,899.0,0.02640642939150402
MHT,2.49857621440536,933.0,0.030246513136555304
MIA,5.147197099486036,3069.0,0.011833466563577035
MKE,4.144568026064487,1431.0,0.02331697054698457
MKG,4.167904903417534,660.0,0.07891156462585033
MKK,5.439716312056738,207.0,0.007001166861143524
MLB,1.144047035766781,624.0,0.012330754352030947
MLI,8.41634500199654,2290.0,0.0330642060745867
MLU,2.1927551560021152,1050.0,0.011954261954261955
MMH,10.67,419.0,0.11790393013100436
MOB,4.534878078369526,908.0,0.012400143078573983
MOT,4.11459430979979,1237.0,0.03286147623862487
MQT,19.82535885167464,1235.0,0.06395995550611791
MRY,4.428571428571429,807.0,0.015016501650165017
MSN,2.887793743839809,1297.0,0.01790892902569321
MSO,3.268292682926829,1274.0,0.015229844907083973
MSP,0.6496802355090854,1734.0,0.0167969217273416
MSY,3.181259103414792,1146.0,0.015804730829814553
MTJ,5.172517552657974,1140.0,0.02093114241001565
MYR,1.253587460445949,936.0,0.01754639324138927
OAJ,2.0431603773584905,872.0,0.01868943239501615
OAK,0.46720906581432514,1106.0,0.01856098915969858
OGD,7.756302521008403,159.0,0.02459016393442623
OGG,1.2263665906775962,1481.0,0.010742654799502345
OGS,6.438775510204081,857.0,0.07706422018348624
OKC,4.824464164627495,1396.0,0.015127803860198226
OMA,2.7418543532935824,1242.0,0.02034666740386476
OME,3.331256490134995,614.0,0.055984555984555984
ONT,2.097778565520501,854.0,0.013898176954612857
ORD,5.222217708224195,3423.0,0.031735728534661854
ORF,4.919230999940016,1342.0,0.02152332425546868
ORH,7.743182944967774,509.0,0.039169419537517694
OTH,14.520325203252032,309.0,0.05995203836930456
OTZ,3.540289256198347,196.0,0.055876685934489405
OWB,0.45384615384615384,145.0,0.037037037037037035
PAE,4.612729902872494,584.0,0.044691647150663545
PAH,4.0578420467185765,687.0,0.052521008403361345
PBG,9.004382761139517,1147.0,0.0364656381486676
PBI,7.368165978168055,948.0,0.019189476301335804
PDX,1.3660625006067548,1167.0,0.017999409855414577
PGD,16.958077260755047,1694.0,0.020412525382066903
PGV,0.7214521452145215,1038.0,0.046365914786967416
PHF,0.9490566037735849,1207.0,0.020247173284249277
PHL,2.8884096457547517,2779.0,0.019703617849159697
PHX,2.5187948966177096,3063.0,0.013174511202234503
PIA,8.091187181354698,1163.0,0.03231698749473093
PIB,6.62375249500998,1431.0,0.029865125240847785
PIE,8.21985685446871,1540.0,0.016647169981103212
PIH,-3.419859265050821,1036.0,0.0038819875776397515
PIR,0.17884130982367757,899.0,0.036057692307692304
PIT,2.1055339459777773,1405.0,0.01788239587610054
PLN,10.253561253561253,1823.0,0.04557405784399649
PNS,5.160184691884212,1156.0,0.014289863491141447
PPG,14.507462686567164,290.0,0.0
PQI,22.22409638554217,947.0,0.056179775280898875
PRC,4.768459434822242,1060.0,0.009000900090009001
PSC,6.863919129082426,1266.0,0.022673288706542862
PSE,13.256433007985803,608.0,0.019097222222222224
PSG,5.5616822429906545,574.0,0.02654867256637168
PSM,-0.8737864077669902,158.0,0.014319809069212411
PSP,2.6507041076428064,1102.0,0.018532913308513685
PUB,2.4647256438969767,1096.0,0.02823018458197611
PUW,2.8292422625400215,311.0,0.05755755755755756
PVD,4.678793741588156,1257.0,0.025609556537391588
PVU,20.92997685185185,1517.0,0.035038932146829814
PWM,5.064233019587891,1166.0,0.03133640552995392
RAP,5.048825426070935,1156.0,0.031046717918391486
RDD,9.851137487636004,959.0,0.02363724071394115
RDM,6.071766222604212,1130.0,0.026151930261519303
RDU,3.5391078899298805,2965.0,0.018610722826149742
RFD,-1.3374449339207048,354.0,0.00959023539668701
RHI,2.967596759675968,854.0,0.019247594050743656
RIC,4.382914824393093,1304.0,0.019876385220682333
RIW,1.4865384615384616,733.0,0.04371584699453552
RKS,3.5695216907675196,1029.0,0.025889967637540454
RNO,2.316686289900576,1116.0,0.013778263103802672
ROA,3.859444093493367,1142.0,0.026063938098147017
ROC,4.420723935763446,1012.0,0.027705627705627706
ROP,-1.4666666666666666,65.0,0.0
ROW,2.50177304964539,822.0,0.014509576320371444
RST,5.920886814469078,1011.0,0.03699551569506727
RSW,3.6257680221377986,1441.0,0.01733173961015079
SAF,7.05014164305949,1500.0,0.02279593518264213
SAN,0.6679721946375372,1861.0,0.01747183279292729
SAT,2.7562667051939607,1148.0,0.013563962170233947
SAV,3.9128105211885047,1194.0,0.018151421065201814
SBA,4.989932254422281,1059.0,0.019852941176470587
SBN,6.833675143560296,1128.0,0.025089605734767026
SBP,7.185365212821861,1366.0,0.017062219371391917
SBY,-2.408723747980614,950.0,0.019321766561514197
SCC,1.5861027190332326,331.0,0.021568627450980392
SCE,3.439413620337725,1155.0,0.026258992805755395
SCK,6.0807174887892375,408.0,0.015789473684210527
SDF,3.1489933637610954,1138.0,0.017102947646282445
SEA,1.6547927182165973,1968.0,0.02276257093030799
SFB,13.58781310557669,1755.0,0.019525214215479703
SFO,5.6850444329283505,1909.0,0.021061748045503488
SGF,3.7601309567115315,993.0,0.019054390330607893
SGU,-0.851707915729188,826.0,0.003053124363932424
SHD,14.252482269503545,1407.0,0.0535475234270415
SHR,1.7307110438729199,910.0,0.021994134897360705
SHV,3.5174465164168858,918.0,0.01517877220598156
SIT,6.654671280276816,492.0,0.03368560105680317
SJC,0.10121502619551889,1030.0,0.016584131310304548
SJT,0.588706091596265,763.0,0.01486013986013986
SJU,7.756879113113379,1121.0,0.009243679115403946
SLC,0.7157848885526459,1528.0,0.008577186160701616
SLN,1.3024085637823373,1214.0,0.04159592529711375
SMF,1.4658258429885176,1151.0,0.015315637534169584
SMX,2.36518771331058,226.0,0.016722408026755852
SNA,0.23082580867279073,1475.0,0.01806176849071634
SPI,8.688899475940925,950.0,0.03215434083601286
SPN,-3.700284090909091,185.0,0.0
SPS,1.0071474983755686,638.0,0.03262233375156838
SRQ,5.813498688290007,1552.0,0.019658995620982018
STC,-3.6598360655737703,193.0,0.012048192771084338
STL,1.788720741477719,1322.0,0.020948146934092724
STS,2.827223162248543,759.0,0.02881844380403458
STT,3.0391046741277155,1193.0,0.0053622809312058595
STX,5.080276448697501,1552.0,0.0031746031746031746
SUN,0.6269788918205804,526.0,0.020389805097451273
SUX,0.8997233748271093,898.0,0.04479578392621871
SWF,5.493940862821134,706.0,0.024976437323279924
SWO,-3.455719557195572,706.0,0.013623978201634877
SYR,4.803172377530453,1470.0,0.02440793684659697
TBN,-13.258992805755396,227.0,0.09740259740259741
TLH,1.8086314593980692,915.0,0.009964173757277206
TOL,3.465560583207642,376.0,0.02685546875
TPA,4.419237396945533,1284.0,0.016121667953411533
TRI,0.8107700050327127,910.0,0.010601292032466457
TTN,9.667519908987487,1263.0,0.024
TUL,3.171976843042792,1119.0,0.016430617441120305
TUS,3.0287101541059744,1180.0,0.011541001842388848
TVC,5.91442239546421,922.0,0.030779753761969904
TWF,-0.9241741741741741,921.0,0.0051813471502590676
TXK,-1.4473053892215568,575.0,0.019883040935672516
TYR,2.642924528301887,973.0,0.03140646335912608
TYS,5.791488191142374,1510.0,0.015452198373858425
UIN,13.901098901098901,943.0,0.08780487804878048
USA,12.23397435897436,1407.0,0.021861336664584636
VCT,-10.682210708117443,844.0,0.02348993288590604
VEL,0.9576783555018138,296.0,0.05672969966629588
VLD,3.6057068741893645,906.0,0.008327994875080076
VPS,2.745210550670986,1525.0,0.013003546421751387
WRG,4.805581395348837,481.0,0.034513274336283185
XNA,2.360916513036608,1085.0,0.015202440663943327
XWA,8.02458512599877,922.0,0.04827586206896552
YAK,0.4717542120911794,210.0,0.04359430604982206
YKM,2.872463768115942,271.0,0.041666666666666664
YNG,59.5,104.0,0.0
YUM,3.8377659574468086,1226.0,0.0056646525679758305
